kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
CDK5,46.705698159509154,44.29127607361945,2.4144220858897043,CMGC,4075
SMG1,58.19052760736207,55.76578404907981,2.424743558282259,PIKK,4075
CAMLCK,51.32403926380359,48.88704539877295,2.4369938650306437,CAMK,4075
CDK12,40.647146012269985,38.10369325153371,2.5434527607362725,CMGC,4075
ERK2,46.19374723926386,43.508267484662426,2.685479754601431,CMGC,4075
CDK4,43.74304294478542,41.00879263803691,2.734250306748514,CMGC,4075
BUB1,58.41911901840504,55.58741840490806,2.8317006134969844,Other,4075
DYRK3,38.545403680981586,35.659472392637966,2.8859312883436203,CMGC,4075
MAP3K15,69.05967607361954,66.12344785276073,2.9362282208588084,STE,4075
PKG2,55.45671411042946,52.38147730061352,3.075236809815941,AGC,4075
CDK18,44.745050306748425,41.647447852760905,3.0976024539875198,CMGC,4075
HASPIN,55.839825766871265,52.67405398773001,3.1657717791412523,Other,4075
CDKL5,42.296485889570526,39.119656441717765,3.176829447852761,CMGC,4075
PAK5,55.55746993865023,52.328706748466324,3.228763190183905,STE,4075
DYRK1B,37.980242944785346,34.69490552147243,3.2853374233129173,CMGC,4075
PAK3,59.650984049079696,56.353023312883536,3.29796073619616,STE,4075
CDKL2,42.19737668711658,38.89833619631902,3.299040490797559,CMGC,4075
JNK3,43.13073619631902,39.75623312883434,3.3745030674846817,CMGC,4075
JNK1,40.5562012269939,37.17866012269941,3.3775411042944867,CMGC,4075
P38G,44.975941104294506,41.528478527607426,3.44746257668708,CMGC,4075
CHAK1,67.08467239263787,63.439796319018384,3.6448760736194856,Alpha,4075
ERK5,45.659565644171806,42.01467975460134,3.6448858895704674,CMGC,4075
PAK4,54.37786012269932,50.68352147239259,3.694338650306726,STE,4075
ICK,45.131590184048946,41.4048883435584,3.7267018404905485,CMGC,4075
PKG1,59.74167607361973,56.004431901840555,3.7372441717791745,AGC,4075
CDK8,42.78750184049074,38.99007361963196,3.7974282208587837,CMGC,4075
CDK19,43.7178773006133,39.886549693251716,3.8313276073615867,CMGC,4075
CDK9,43.813438036809984,39.9441668711657,3.8692711656442853,CMGC,4075
DYRK4,36.19949693251526,32.18233619631901,4.017160736196253,CMGC,4075
HIPK1,41.14147239263812,37.10708220858915,4.0343901840489735,CMGC,4075
HIPK2,39.50191165644164,35.34722208588948,4.154689570552165,CMGC,4075
PAK6,53.916026993865245,49.73627975460117,4.179747239264074,STE,4075
P38D,47.50692024539866,43.11502576687122,4.3918944785274405,CMGC,4075
P38A,48.40680245398768,44.01166380368099,4.395138650306691,CMGC,4075
ERK1,47.899273619631906,43.47711411042937,4.422159509202537,CMGC,4075
DYRK2,40.10293987730062,35.636468711656455,4.466471165644165,CMGC,4075
DYRK1A,41.83213006134963,37.285607361963216,4.546522699386415,CMGC,4075
JNK2,45.29971042944797,40.60046134969316,4.699249079754807,CMGC,4075
MAK,45.10303067484654,40.071138650306786,5.031892024539758,CMGC,4075
MOK,46.967123926380324,41.81010552147256,5.157018404907767,CMGC,4075
P38B,48.72132515337431,43.399791411042926,5.321533742331383,CMGC,4075
HIPK4,43.98072638036814,38.36417668711667,5.616549693251471,CMGC,4075
CDK7,45.26545030674843,39.27733496932506,5.988115337423366,CMGC,4075
MPSK1,64.4505153374233,58.312277300613395,6.138238036809902,Other,4075
HIPK3,48.1666478527608,41.620765644171875,6.545882208588928,CMGC,4075
